info: socket.io started
U: 0,	MR/S: 0,	MS/S: 0,	MR/S/U: 0,	MS/S/U: 0,	CPU: 13.0,	Mem: 0.2
U: 2,	MR/S: 3344,	MS/S: 3344,	MR/S/U: 1610,	MS/S/U: 1610,	CPU: 29.0,	Mem: 0.3
U: 4,	MR/S: 11145,	MS/S: 11145,	MR/S/U: 2754.3,	MS/S/U: 2754.3,	CPU: 40.6,	Mem: 0.3
U: 6,	MR/S: 11586,	MS/S: 11586,	MR/S/U: 1912.8,	MS/S/U: 1912.8,	CPU: 47.2,	Mem: 0.3
U: 8,	MR/S: 11748,	MS/S: 11748,	MR/S/U: 1453.5,	MS/S/U: 1453.5,	CPU: 51.0,	Mem: 0.4
U: 10,	MR/S: 11323,	MS/S: 11323,	MR/S/U: 1120.7,	MS/S/U: 1120.7,	CPU: 53.5,	Mem: 0.4
U: 12,	MR/S: 11609,	MS/S: 11609,	MR/S/U: 958.8,	MS/S/U: 958.8,	CPU: 55.1,	Mem: 0.4
U: 14,	MR/S: 11904,	MS/S: 11904,	MR/S/U: 841.6,	MS/S/U: 841.6,	CPU: 56.7,	Mem: 0.4
U: 16,	MR/S: 11728,	MS/S: 11728,	MR/S/U: 725.3,	MS/S/U: 725.3,	CPU: 57.8,	Mem: 0.4
U: 18,	MR/S: 11978,	MS/S: 11978,	MR/S/U: 657.8,	MS/S/U: 657.8,	CPU: 58.8,	Mem: 0.7
U: 20,	MR/S: 11801,	MS/S: 11801,	MR/S/U: 582.9,	MS/S/U: 582.9,	CPU: 59.5,	Mem: 0.7
U: 22,	MR/S: 11864,	MS/S: 11864,	MR/S/U: 533,	MS/S/U: 533,	CPU: 60.2,	Mem: 0.7
U: 24,	MR/S: 11147,	MS/S: 11147,	MR/S/U: 458.3,	MS/S/U: 458.3,	CPU: 60.7,	Mem: 0.7
U: 26,	MR/S: 11798,	MS/S: 11798,	MR/S/U: 448.1,	MS/S/U: 448.1,	CPU: 61.2,	Mem: 0.7
